date,nov_load,ev_load,cov_load,orig_data
2021-11-08,4059901197803434,128694568126396.17,21738023043921.684,TRUE
2021-11-09,2765568191788911.5,54947442192403.59,15755012321461.123,TRUE
2021-11-10,3067533019101600,147852381501720,20523596676961.875,TRUE
2021-11-11,2509529254035534.5,164747722020653.44,22313057705293.19,TRUE
2021-11-12,3013986939204268,254839497183573.44,70415000046252.84,TRUE
2021-11-13,3156622809816665.5,220285314099933.25,33150985709583.062,TRUE
2021-11-14,3321624312666401,149037499964560,41664840664127.55,TRUE
2021-11-15,2520069209179198,82712383906767.92,26646831983293.67,TRUE
2021-11-16,3462514758357200,246345533223779.97,31962619651221.92,TRUE
2021-11-17,1985768244954934,151561912980173.38,33208670080629.277,TRUE
2021-11-18,2323630998936002,177689429330400.12,41183668716088.34,TRUE
2021-11-19,2230534031584338,248582664577507.2,58370351645913.11,TRUE
2021-11-20,1264899540861599.5,97815896878727.95,34848351485011.23,TRUE
2021-11-21,2795000415933005.5,181090142709960.34,55303393608628.07,TRUE
2021-11-22,3020631887686403.5,288378743271540.4,59286387675870.31,TRUE
2021-11-23,2881030630298336,316122925735100.25,57075548181295.9,TRUE
2021-11-24,1509326666059666.8,123148690643970,31341330421404.613,TRUE
2021-11-25,3437878824037527,197143137456172.94,76935935116319.56,TRUE
2021-11-26,2120730479489400.5,129781920945616.69,69556057788930.09,TRUE
2021-11-27,2859609504777337,154515588492866.88,77966665525141.16,TRUE
2021-11-28,2573309045101669,163943223937166.84,65397555521052.875,TRUE
2021-11-29,3230946259562400,245758968236920,52640247988914.05,TRUE
2021-11-30,2797597705276264,307854556376266.3,54765488367824.445,TRUE
2021-12-01,3062241049830004.5,195178916127000.28,69680352955302.47,TRUE
2021-12-02,1995976670069199.5,112787152577031.89,63887709917167.25,NA
2021-12-03,929712290308394.5,30395389027063.49,58095066879032.02,TRUE
2021-12-04,2687733922053800,69716228601507.8,69955389094537.734,NA
2021-12-05,4445755553799205,109037068175952.11,81815711310043.45,TRUE
2021-12-06,3524673998711002.5,134438601610756.06,69798033664773.95,NA
2021-12-07,2603592443622800,159840135045560,57780356019504.445,TRUE
2021-12-08,2788138976877851,161794247557872.06,62797028659187.59,NA
2021-12-09,2972685510132901.5,163748360070184.1,67813701298870.734,TRUE
2021-12-10,3175710473022825,184789684692204.5,65265955771604.5,NA
2021-12-11,3378735435912748,205831009314224.88,62718210244338.26,TRUE
2021-12-12,3039719463079424,181717071809444.94,64369988651509.89,NA
2021-12-13,2700703490246100,157603134304665,66021767058681.52,TRUE
2021-12-14,2408302385315251,259207128634382.66,57147949080374.56,NA
2021-12-15,2115901280384401.8,360811122964100.3,48274131102067.6,TRUE
2021-12-16,2165818789626951.5,275265307892425.2,58404785413416.266,NA
2021-12-17,2215736298869501.2,189719492820750.06,68535439724764.94,TRUE
2021-12-18,2165274978513351,226650065430735.12,68739422891486.34,NA
2021-12-19,2114813658157201,263580638040720.16,68943406058207.74,TRUE
2021-12-20,2361346716071875,279006729583207.5,67557812452334.91,NA
2021-12-21,2607879773986549,294432821125694.9,66172218846462.06,TRUE
2021-12-22,2657619839676774,353664981547087.4,80767607507840.67,NA
2021-12-23,2707359905366999,412897141968479.9,95362996169219.28,TRUE
2021-12-24,2200611658858548.5,267224046785794.88,78463768181797.72,NA
2021-12-25,1693863412350097.8,121550951603109.84,61564540194376.14,TRUE
2021-12-26,2124611994790049,286231047259479.9,71602553326113.78,NA
2021-12-27,255536057723e4,450911142915850,81640566457851.42,TRUE
2021-12-28,2434354493821500.5,429881119156328.6,80328021693511.03,NA
2021-12-29,2313348410413000.5,408851095396807.25,79015476929170.625,NA
2021-12-30,2192342327004501,387821071637285.9,77702932164830.23,NA
2021-12-31,2071336243596001.2,366791047877764.5,76390387400489.84,NA
2022-01-01,1950330160187501.5,345761024118243.1,75077842636149.45,NA
2022-01-02,1829324076779001.8,324731000358721.75,73765297871809.05,NA
2022-01-03,1708317993370502,303700976599200.4,72452753107468.66,TRUE
2022-01-04,2033050833511225.5,487647580428192.56,143021289082674.38,NA
2022-01-05,2357783673651949,671594184257184.75,213589825057880.12,TRUE
2022-01-06,2321182045456100,663049320247092.6,167537536081497.12,NA
2022-01-07,2284580417260251.5,654504456237000.5,121485247105114.14,TRUE
2022-01-08,1990019249117144.2,557018675844509.9,128873562108784.81,NA
